viaje_id,ciudad_id
1,1
2,4
3,3
4,5
5,3
6,3
7,9
8,3
9,4
10,7
11,8
12,2
13,10
14,3
15,5
16,2
17,9
18,7
19,4
20,1
21,2
22,10
23,10
24,3
25,3
26,7
27,3
28,6
29,3
30,6
31,8
32,3
33,3
34,10
35,9
36,7
37,2
38,6
39,6
40,1
41,1
42,6
43,10
44,8
45,1
46,6
47,3
48,2
49,5
50,9
51,6
52,8
53,6
54,6
55,6
56,6
57,6
58,6
59,4
60,2
61,1
62,3
63,6
64,4
65,1
66,6
67,4
68,3
69,2
70,3
71,10
72,5
73,2
74,10
75,4
76,8
77,3
78,2
79,6
80,6
81,6
82,2
83,6
84,2
85,4
86,8
